xml_id	midi_id	track	channel	pitch	onset
n25-1	n1	0	0	45	1.5157570312500004
n27-1	n8	0	0	52	1.9083848437500008
n28-1	n10	0	0	57	1.916397656250001
n17-1	n2	0	0	60	1.5197634375000004
n29-1	n9	0	0	60	1.9097203125000008
n19-1	n6	0	0	64	1.8883528125000009
n18-1	deletion
n1-1	n0	0	0	69	1.5117506250000003
n20-1	deletion
n2-1	n3	0	0	70	1.6159171875000007
n3-1	n4	0	0	71	1.7200837500000008
n4-1	n5	0	0	72	1.806889218750001
n5-1	n7	0	0	73	1.896365625000001
n6-1	n11	0	0	74	1.995190312500001
n7-1	n12	0	0	75	2.081995781250001
n8-1	n13	0	0	76	2.167465781250001
n31-1	n14	0	0	45	2.266290468750001
n21-1	n16	0	0	69	2.286322500000001
n22-1	deletion
n9-1	n15	0	0	77	2.272967812500001
n24-1	deletion
n10-1	n17	0	0	78	2.374463437500001
n11-1	n18	0	0	79	2.470617187500001
n12-1	n19	0	0	80	2.541397031250001
n33-1	n21	0	0	53	2.636215312500001
n34-1	n22	0	0	57	2.636215312500001
n35-1	n23	0	0	62	2.6375507812500008
n23-1	n24	0	0	74	2.6522409375000007
n13-1	n20	0	0	81	2.632208906250001
n14-1	n25	0	0	82	2.7243562500000005
n15-1	n26	0	0	83	2.8138326562500007
n16-1	n27	0	0	84	2.917999218750001
n61-1	n29	0	0	33	3.0208303125000002
n62-1	deletion
n53-1	n30	0	0	76	3.0235012500000003
n54-1	n31	0	0	81	3.0421978125
n55-1	n38	0	0	81	3.4187999999999996
n58-1	deletion
n37-1	n28	0	0	85	3.0194948437500004
n38-1	n32	0	0	86	3.1116421875
n39-1	n33	0	0	87	3.2104668750000003
n40-1	n34	0	0	88	3.285253125
n64-1	n36	0	0	52	3.413458125
n65-1	n39	0	0	57	3.4241418749999997
n66-1	n40	0	0	60	3.4294837499999997
n56-1	n37	0	0	84	3.41746453125
n44-1	n43	0	0	86	3.7005839062499994
n43-1	n42	0	0	87	3.6111074999999997
n42-1	n41	0	0	88	3.5176246874999997
n41-1	n35	0	0	89	3.4107871875000004
n68-1	n47	0	0	57	3.8181051562499992
n69-1	n46	0	0	60	3.8167696874999995
n70-1	n45	0	0	64	3.8127632812499996
n57-1	n48	0	0	76	3.8181051562499992
n48-1	n51	0	0	82	4.1105728125
n47-1	n50	0	0	83	4.0344510937499996
n46-1	n49	0	0	84	3.9302845312499994
n45-1	n44	0	0	85	3.8074214062499996
n59-1	n54	0	0	72	4.24144875
n60-1	n53	0	0	76	4.22942953125
n50-1	n55	0	0	80	4.300209375
n49-1	n52	0	0	81	4.20539109375
n52-1	n57	0	0	81	4.495187812499999
n51-1	n56	0	0	83	4.393692187499999
n97-1	n59	0	0	40	4.577986874999999
n89-1	n61	0	0	71	4.606031718749999
n90-1	n58	0	0	76	4.560625781249999
n76-1	n64	0	0	77	4.854428906249999
n75-1	n63	0	0	78	4.764952499999999
n74-1	n62	0	0	79	4.684824374999999
n73-1	n60	0	0	80	4.579322343749999
n99-1	n66	0	0	52	4.96393734375
n100-1	n69	0	0	59	4.971950156249999
n101-1	n68	0	0	62	4.965272812499999
n91-1	n70	0	0	68	5.0053368749999985
n92-1	n65	0	0	71	4.959930937499999
n78-1	n71	0	0	75	5.069439374999998
n77-1	n67	0	0	76	4.96393734375
n80-1	n73	0	0	76	5.247056718749999
n79-1	n72	0	0	77	5.157580312499999
n103-1	n75	0	0	45	5.352558749999998
n93-1	n76	0	0	69	5.383274531249998
n96-1	deletion
n84-1	n79	0	0	72	5.627665312499998
n94-1	deletion
n83-1	n78	0	0	73	5.548872656249998
n82-1	n77	0	0	74	5.451383437499998
n81-1	n74	0	0	75	5.3512232812499985
n105-1	n81	0	0	52	5.738509218749998
n106-1	n83	0	0	57	5.743851093749998
n107-1	n82	0	0	60	5.738509218749998
n95-1	deletion
n85-1	n80	0	0	71	5.715806249999998
n86-1	n84	0	0	72	5.818637343749998
n88-1	n86	0	0	72	5.996254687499998
n87-1	n85	0	0	74	5.933487656249998
n133-1	n90	0	0	52	6.120453281249998
n134-1	n91	0	0	59	6.1284660937499975
n125-1	n88	0	0	64	6.112440468749997
n126-1	n89	0	0	68	6.116446874999998
n109-1	n87	0	0	71	6.109769531249998
n111-1	n93	0	0	71	6.308754374999998
n110-1	n92	0	0	72	6.207258749999998
n112-1	n94	0	0	72	6.391553437499998
n136-1	n95	0	0	53	6.514416562499998
n137-1	n98	0	0	59	6.5197584374999975
n127-1	n96	0	0	63	6.514416562499998
n128-1	n97	0	0	69	6.517087499999998
n113-1	n99	0	0	71	6.522429374999997
n115-1	n101	0	0	71	6.729427031249999
n114-1	n100	0	0	72	6.626595937499998
n116-1	n102	0	0	72	6.805548749999999
n138-1	n105	0	0	52	6.937760156249999
n129-1	n106	0	0	64	6.959127656249998
n130-1	n104	0	0	68	6.928411874999999
n117-1	n103	0	0	71	6.917728124999999
n120-1	n109	0	0	74	7.226221406249999
n119-1	n108	0	0	75	7.1314031249999985
n118-1	n107	0	0	76	7.031242968749998
n131-1	n110	0	0	62	7.321039687499999
n132-1	n111	0	0	68	7.326381562499999
n124-1	n115	0	0	70	7.616178281249999
n123-1	n114	0	0	71	7.536050156249999
n122-1	n113	0	0	72	7.4372254687499995
n121-1	n112	0	0	73	7.338400781249999
n166-1	n118	0	0	45	7.724351249999999
n158-1	n117	0	0	60	7.712332031249999
n159-1	deletion
n142-1	n116	0	0	69	7.708325624999999
n143-1	n119	0	0	70	7.804479375
n144-1	n120	0	0	71	7.92333609375
n145-1	n121	0	0	72	7.999457812499999
n168-1	n126	0	0	52	8.112972656249998
n169-1	n127	0	0	57	8.114308124999997
n170-1	n123	0	0	60	8.107630781249998
n160-1	n124	0	0	64	8.107630781249998
n161-1	n122	0	0	69	8.10228890625
n146-1	n125	0	0	73	8.107630781249998
n147-1	n128	0	0	74	8.206455468749997
n148-1	n129	0	0	75	8.298602812499997
n149-1	n130	0	0	76	8.389414687499997
n172-1	n132	0	0	45	8.498923124999997
n162-1	n133	0	0	69	8.501594062499997
n163-1	deletion
n150-1	n131	0	0	77	8.496252187499998
n151-1	n134	0	0	78	8.597747812499998
n152-1	n135	0	0	79	8.692566093749997
n153-1	n136	0	0	80	8.768687812499998
n174-1	n138	0	0	53	8.880867187499998
n175-1	n139	0	0	57	8.880867187499998
n176-1	n140	0	0	62	8.883538124999998
n164-1	n141	0	0	74	8.891550937499998
n165-1	deletion
n154-1	n137	0	0	81	8.863506093749997
n155-1	n142	0	0	82	8.978356406249997
n156-1	n143	0	0	83	9.070503749999997
n157-1	n144	0	0	84	9.157309218749997
n202-1	n147	0	0	33	9.285514218749997
n203-1	deletion
n194-1	n145	0	0	76	9.272159531249997
n195-1	n148	0	0	81	9.293527031249997
n178-1	n146	0	0	85	9.277501406249996
n179-1	n149	0	0	86	9.381667968749998
n180-1	n150	0	0	87	9.479157187499998
n181-1	n151	0	0	88	9.5592853125
n205-1	n154	0	0	52	9.6874903125
n206-1	n156	0	0	57	9.6981740625
n207-1	n157	0	0	60	9.70485140625
n196-1	n152	0	0	81	9.68348390625
n197-1	n155	0	0	84	9.69016125
n185-1	n160	0	0	86	9.975951562499999
n184-1	n159	0	0	87	9.883804218749999
n183-1	n158	0	0	88	9.794327812499999
n182-1	n153	0	0	89	9.68348390625
n209-1	n164	0	0	57	10.098814687499999
n210-1	n163	0	0	60	10.09480828125
n211-1	n162	0	0	64	10.09213734375
n198-1	n165	0	0	76	10.10549203125
n199-1	n166	0	0	81	10.124188593749999
n189-1	n169	0	0	82	10.367243906249998
n188-1	n168	0	0	83	10.295128593749997
n187-1	n167	0	0	84	10.192297499999997
n186-1	n161	0	0	85	10.08546
n200-1	n172	0	0	72	10.507468124999997
n201-1	n171	0	0	76	10.491442499999998
n191-1	n173	0	0	80	10.575577031249997
n190-1	n170	0	0	81	10.482094218749998
n193-1	n175	0	0	81	10.773226406249998
n192-1	n174	0	0	83	10.675737187499998
n238-1	n177	0	0	47	10.862702812499998
n230-1	deletion
n231-1	n178	0	0	76	10.881399374999999
n214-1	n176	0	0	79	10.837328906249999
n215-1	n179	0	0	80	10.952179218749999
n216-1	n180	0	0	81	11.030971874999999
n217-1	n181	0	0	82	11.12846109375
n240-1	n182	0	0	59	11.23796953125
n241-1	n186	0	0	64	11.25132421875
n242-1	n184	0	0	67	11.2473178125
n232-1	deletion
n233-1	n183	0	0	79	11.23796953125
n221-1	n189	0	0	82	11.497050468749999
n218-1	n185	0	0	83	11.2473178125
n220-1	n188	0	0	83	11.434283437499998
n219-1	n187	0	0	84	11.324774999999997
n244-1	n190	0	0	47	11.621249062499999
n234-1	deletion
n235-1	deletion
n225-1	n196	0	0	78	12.011205937499998
n224-1	n193	0	0	79	11.830917656249998
n223-1	n192	0	0	80	11.752124999999998
n222-1	n191	0	0	81	11.631932812499999
n246-1	n195	0	0	59	12.008534999999998
n247-1	n197	0	0	66	12.017883281249999
n236-1	n198	0	0	69	12.045928124999998
n267-1	n204	0	0	71	12.359763281249997
n248-1	deletion
n237-1	deletion
n226-1	n194	0	0	77	11.984496562499999
n227-1	n199	0	0	78	12.076643906249998
n229-1	n201	0	0	78	12.248919374999998
n228-1	n200	0	0	79	12.179474999999998
n274-1	n203	0	0	52	12.359763281249997
n270-1	n217	0	0	64	13.150360781249997
n275-1	deletion
n266-1	n205	0	0	68	12.381130781249997
n252-1	n207	0	0	75	12.558748124999996
n250-1	n202	0	0	76	12.354421406249998
n253-1	n208	0	0	76	12.649559999999996
n251-1	n206	0	0	77	12.477284531249996
n276-1	n212	0	0	40	12.772423124999996
n279-1	deletion
n277-1	n213	0	0	52	12.772423124999996
n268-1	n209	0	0	65	12.753726562499995
n269-1	n210	0	0	69	12.761739374999996
n256-1	n215	0	0	73	12.958053281249995
n254-1	n211	0	0	74	12.768416718749997
n257-1	n216	0	0	74	13.052871562499996
n255-1	n214	0	0	76	12.867241406249995
n271-1	n218	0	0	69	13.150360781249997
n260-1	n221	0	0	71	13.334655468749995
n258-1	n219	0	0	72	13.169057343749998
n261-1	n222	0	0	72	13.425467343749995
n259-1	n220	0	0	74	13.265211093749997
n280-1	n225	0	0	52	13.557678749999996
n272-1	n223	0	0	62	13.541653124999996
n273-1	n224	0	0	68	13.545659531249996
n264-1	n228	0	0	70	13.747315312499996
n262-1	n226	0	0	71	13.576375312499996
n265-1	n229	0	0	71	13.842133593749997
n263-1	n227	0	0	72	13.648490624999996
n305-1	n231	0	0	45	13.955648437499995
n297-1	n230	0	0	60	13.950306562499996
n298-1	deletion
n281-1	n232	0	0	69	13.955648437499995
n282-1	n233	0	0	70	14.063821406249996
n283-1	n234	0	0	71	14.157304218749996
n284-1	n235	0	0	72	14.244109687499995
n307-1	n239	0	0	52	14.352282656249992
n308-1	n240	0	0	57	14.360295468749992
n309-1	n237	0	0	60	14.346940781249993
n299-1	n238	0	0	64	14.348276249999993
n300-1	n241	0	0	69	14.362966406249992
n301-1	deletion
n285-1	n236	0	0	73	14.344269843749993
n286-1	n242	0	0	74	14.436417187499991
n287-1	n243	0	0	75	14.54191921874999
n288-1	n244	0	0	76	14.62338281249999
n311-1	n245	0	0	45	14.72354296874999
n302-1	deletion
n289-1	n246	0	0	77	14.72888484374999
n304-1	deletion
n290-1	n247	0	0	78	14.82637406249999
n291-1	n248	0	0	79	14.945230781249991
n292-1	n249	0	0	80	15.020017031249992
n313-1	n251	0	0	53	15.113499843749992
n314-1	n252	0	0	57	15.113499843749992
n315-1	n250	0	0	62	15.112164374999992
n303-1	n254	0	0	74	15.136202812499992
n293-1	n253	0	0	81	15.129525468749991
n294-1	n255	0	0	82	15.221672812499989
n295-1	n256	0	0	83	15.328510312499988
n296-1	n257	0	0	84	15.408638437499988
n341-1	n258	0	0	33	15.518146874999989
n342-1	deletion
n333-1	n261	0	0	76	15.530166093749987
n334-1	n260	0	0	81	15.523488749999988
n317-1	n259	0	0	85	15.520817812499988
n318-1	n262	0	0	86	15.632997187499987
n319-1	n263	0	0	87	15.730486406249987
n320-1	n264	0	0	88	15.803937187499987
n344-1	n266	0	0	52	15.938819531249987
n345-1	n270	0	0	57	15.949503281249987
n346-1	n268	0	0	60	15.941490468749986
n335-1	n265	0	0	81	15.933477656249988
n336-1	n267	0	0	84	15.940154999999987
n324-1	n273	0	0	86	16.223274374999985
n323-1	n272	0	0	87	16.128456093749985
n322-1	n271	0	0	88	16.056340781249986
n321-1	n269	0	0	89	15.941490468749986
n348-1	n276	0	0	57	16.331447343749982
n349-1	n275	0	0	60	16.328776406249983
n350-1	n274	0	0	64	16.320763593749984
n337-1	n279	0	0	76	16.33411828124998
n338-1	n277	0	0	81	16.331447343749982
n328-1	n282	0	0	82	16.613231249999977
n327-1	n281	0	0	83	16.55447062499998
n326-1	n280	0	0	84	16.43561390624998
n325-1	n278	0	0	85	16.331447343749982
n339-1	n285	0	0	72	16.753455468749976
n340-1	n283	0	0	76	16.737429843749975
n330-1	n286	0	0	80	16.820228906249977
n329-1	n284	0	0	81	16.741436249999975
n332-1	n288	0	0	81	17.027226562499976
n331-1	n287	0	0	83	16.928401874999977
n377-1	n291	0	0	40	17.128722187499974
n369-1	deletion
n370-1	n289	0	0	76	17.107354687499978
n356-1	n294	0	0	77	17.403828749999974
n355-1	n293	0	0	78	17.314352343749974
n354-1	n292	0	0	79	17.230217812499976
n353-1	n290	0	0	80	17.123380312499975
n379-1	n296	0	0	52	17.497311562499974
n380-1	n300	0	0	59	17.51867906249997
n381-1	n297	0	0	62	17.503988906249973
n371-1	n298	0	0	68	17.505324374999972
n372-1	n295	0	0	71	17.495976093749974
n358-1	n301	0	0	75	17.61082640624997
n357-1	n299	0	0	76	17.51066624999997
n360-1	n303	0	0	76	17.784437343749968
n359-1	n302	0	0	77	17.68561265624997
n383-1	n305	0	0	45	17.900623124999967
n373-1	deletion
n374-1	n306	0	0	72	17.919319687499968
n364-1	n309	0	0	72	18.167716874999964
n363-1	n308	0	0	73	18.086253281249967
n362-1	n307	0	0	74	17.992770468749967
n361-1	n304	0	0	75	17.89261031249997
n385-1	n311	0	0	52	18.289244531249963
n386-1	n313	0	0	57	18.307941093749964
n387-1	n312	0	0	60	18.295921874999962
n375-1	deletion
n376-1	deletion
n365-1	n310	0	0	71	18.266541562499963
n366-1	n314	0	0	72	18.368037187499965
n368-1	n316	0	0	72	18.550996406249965
n367-1	n315	0	0	74	18.458849062499965
n413-1	n320	0	0	52	18.683207812499965
n414-1	n321	0	0	59	18.689885156249964
n405-1	n318	0	0	64	18.668517656249964
n406-1	n319	0	0	68	18.680536874999966
n389-1	n317	0	0	71	18.660504843749965
n391-1	n323	0	0	71	18.870173437499965
n390-1	n322	0	0	72	18.775355156249965
n392-1	n324	0	0	72	18.974339999999966
n416-1	n326	0	0	53	19.079842031249967
n417-1	n328	0	0	59	19.086519374999966
n407-1	n325	0	0	63	19.075835624999968
n408-1	n327	0	0	69	19.082512968749967
n393-1	n329	0	0	71	19.086519374999966
n395-1	n331	0	0	71	19.282833281249967
n394-1	n330	0	0	72	19.197363281249967
n396-1	n332	0	0	72	19.376316093749967
n418-1	n335	0	0	52	19.48983093749996
n409-1	n336	0	0	64	19.500514687499958
n410-1	n334	0	0	68	19.48315359374996
n397-1	n333	0	0	71	19.473805312499962
n400-1	n339	0	0	74	19.770279374999955
n399-1	n338	0	0	75	19.680802968749955
n398-1	n337	0	0	76	19.571294531249954
n411-1	n341	0	0	62	19.894477968749953
n412-1	n340	0	0	68	19.886465156249955
n404-1	n345	0	0	70	20.168249062499957
n403-1	n344	0	0	71	20.101475624999956
n402-1	n343	0	0	72	19.989296249999956
n401-1	n342	0	0	73	19.894477968749953
n446-1	n348	0	0	45	20.301795937499953
n438-1	n347	0	0	60	20.296454062499954
n439-1	deletion
n422-1	n346	0	0	69	20.285770312499956
n423-1	n349	0	0	70	20.396614218749956
n424-1	n350	0	0	71	20.504787187499954
n425-1	n351	0	0	72	20.58625078124995
n448-1	n356	0	0	52	20.70110109374995
n449-1	n357	0	0	57	20.70510749999995
n450-1	n354	0	0	60	20.694423749999952
n440-1	n355	0	0	64	20.69843015624995
n441-1	n353	0	0	69	20.689081874999953
n426-1	n352	0	0	73	20.686410937499954
n427-1	n358	0	0	74	20.795919374999954
n428-1	n359	0	0	75	20.894744062499957
n429-1	n360	0	0	76	20.992233281249955
n452-1	n363	0	0	45	21.10841906249995
n483-1	deletion
n442-1	n362	0	0	69	21.100406249999953
n443-1	deletion
n430-1	n361	0	0	77	21.096399843749953
n445-1	deletion
n431-1	n364	0	0	78	21.204572812499954
n432-1	n365	0	0	79	21.304732968749953
n433-1	n366	0	0	80	21.38352562499995
n454-1	n369	0	0	53	21.490363124999952
n455-1	n370	0	0	57	21.490363124999952
n456-1	n368	0	0	62	21.487692187499952
n444-1	n371	0	0	74	21.49436953124995
n434-1	n367	0	0	81	21.486356718749953
n435-1	n372	0	0	82	21.58785234374995
n436-1	n373	0	0	83	21.67465781249995
n437-1	n374	0	0	84	21.76546968749995
n482-1	n377	0	0	33	21.90702937499995
n474-1	n375	0	0	76	21.897681093749952
n475-1	n378	0	0	81	21.90702937499995
n458-1	n376	0	0	85	21.90435843749995
n459-1	n379	0	0	86	22.008524999999953
n460-1	n380	0	0	87	22.116697968749953
n461-1	n381	0	0	88	22.191484218749956
n485-1	n383	0	0	52	22.31034093749996
n486-1	n386	0	0	57	22.322360156249957
n487-1	n384	0	0	60	22.315682812499958
n476-1	n382	0	0	81	22.30766999999996
n477-1	n387	0	0	84	22.322360156249957
n465-1	n390	0	0	86	22.598802187499956
n464-1	n389	0	0	87	22.51466765624996
n463-1	n388	0	0	88	22.42385578124996
n462-1	n385	0	0	89	22.315682812499958
n489-1	n391	0	0	57	22.708310624999957
n490-1	n393	0	0	60	22.709646093749956
n491-1	n392	0	0	64	22.708310624999957
n478-1	n394	0	0	76	22.712317031249956
n479-1	n396	0	0	81	22.736355468749956
n469-1	n399	0	0	82	23.006120156249953
n468-1	n398	0	0	83	22.931333906249954
n467-1	n397	0	0	84	22.820489999999953
n466-1	n395	0	0	85	22.712317031249956
n480-1	n402	0	0	72	23.162369999999953
n481-1	n401	0	0	76	23.142337968749953
n471-1	n403	0	0	80	23.205104999999953
n470-1	n400	0	0	81	23.123641406249952
n473-1	n405	0	0	81	23.397412499999955
n472-1	n404	0	0	83	23.289239531249954
n517-1	n409	0	0	38	23.520275624999957
n518-1	deletion
n510-1	n407	0	0	74	23.49223078124996
n511-1	n408	0	0	77	23.49223078124996
n494-1	n406	0	0	82	23.477540624999957
n495-1	n410	0	0	83	23.584378124999954
n496-1	n411	0	0	84	23.683202812499953
n497-1	n412	0	0	85	23.76199546874995
n520-1	n416	0	0	50	23.90221968749995
n521-1	n418	0	0	53	23.91290343749995
n522-1	n415	0	0	58	23.89821328124995
n523-1	n414	0	0	62	23.894206874999952
n512-1	n417	0	0	77	23.90622609374995
n513-1	deletion
n498-1	n413	0	0	86	23.871503906249952
n499-1	n419	0	0	87	23.982347812499945
n500-1	n420	0	0	88	24.081172499999944
n501-1	n421	0	0	89	24.167977968749945
n525-1	n422	0	0	40	24.281492812499945
n526-1	deletion
n514-1	n423	0	0	80	24.285499218749944
n515-1	n425	0	0	86	24.288170156249944
n502-1	n424	0	0	88	24.285499218749944
n503-1	n426	0	0	89	24.391001249999942
n504-1	n427	0	0	90	24.484484062499945
n505-1	n428	0	0	91	24.573960468749945
n528-1	n429	0	0	52	24.664772343749945
n529-1	n432	0	0	59	24.676791562499943
n530-1	n430	0	0	62	24.671449687499944
n516-1	n433	0	0	86	24.682133437499942
n506-1	n431	0	0	92	24.674120624999944
n507-1	n434	0	0	93	24.764932499999944
n508-1	n435	0	0	94	24.865092656249942
n509-1	n436	0	0	95	24.963917343749944
n556-1	n439	0	0	41	25.081438593749944
n557-1	deletion
n548-1	n437	0	0	84	25.077432187499944
n549-1	deletion
n535-1	n442	0	0	90	25.385925468749946
n534-1	n441	0	0	91	25.275081562499945
n533-1	n440	0	0	92	25.176256874999947
n532-1	n438	0	0	93	25.080103124999944
n559-1	n444	0	0	57	25.479408281249945
n560-1	n447	0	0	60	25.483414687499945
n561-1	n445	0	0	65	25.479408281249945
n550-1	n448	0	0	81	25.487421093749944
n551-1	n443	0	0	84	25.456705312499945
n539-1	n451	0	0	86	25.76119218749994
n538-1	n450	0	0	87	25.67305124999994
n537-1	n449	0	0	88	25.59692953124994
n536-1	n446	0	0	89	25.479408281249945
n563-1	n454	0	0	36	25.86402328124994
n564-1	deletion
n552-1	n453	0	0	76	25.86268781249994
n553-1	n455	0	0	81	25.86535874999994
n543-1	n458	0	0	82	26.160497343749935
n542-1	n457	0	0	83	26.080369218749937
n541-1	n456	0	0	84	25.994899218749936
n540-1	n452	0	0	85	25.86135234374994
n566-1	n459	0	0	52	26.261992968749933
n567-1	n462	0	0	57	26.268670312499932
n568-1	n461	0	0	64	26.267334843749932
n554-1	n464	0	0	72	26.30873437499993
